Year,State,NMFS.Name,Pounds,Metric.Tons,Dollars,Confidentiality,Collection,Scientific.Name,Tsn,Source
2002,DELAWARE,MENHADENS **,83015,38,7902,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,FLORIDA-EAST,MENHADENS **,55304,25,30365,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,MARYLAND,MENHADENS **,4850391,2200,423271,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NEW JERSEY,MENHADENS **,24725015,11215,1577936,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NEW YORK,MENHADENS **,6480,3,1065,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,NORTH CAROLINA,MENHADENS **,69190601,31385,5045423,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2002,VIRGINIA,MENHADENS **,364941378,165536,22113124,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,CONNECTICUT,MENHADENS **,38865,18,9722,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,DELAWARE,MENHADENS **,53254,24,4291,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,FLORIDA-EAST,MENHADENS **,179951,82,79875,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,MARYLAND,MENHADENS **,4618607,2095,381750,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NEW JERSEY,MENHADENS **,26375573,11964,1506823,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NEW YORK,MENHADENS **,296116,134,30523,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,NORTH CAROLINA,MENHADENS **,56012398,25407,4551444,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2001,VIRGINIA,MENHADENS **,487143843,220967,25859656,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,CONNECTICUT,MENHADENS **,14423,7,1444,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,DELAWARE,MENHADENS **,47980,22,6790,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,FLORIDA-EAST,MENHADENS **,263747,120,112823,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,MARYLAND,MENHADENS **,4870835,2209,522909,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,NEW JERSEY,MENHADENS **,31266780,14183,1875061,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,NEW YORK,MENHADENS **,282920,128,70202,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2000,NORTH CAROLINA,MENHADENS **,56280111,25528,3495747,Public,Commercial,Brevoortia ,161731,ACCSPHIST
