,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2007,NORTH CAROLINA,MENHADENS **,"1,134,208",514,"140,995",Public,Commercial,Brevoortia ,161731,ACCSP
2007,RHODE ISLAND,MENHADENS **,"8,948",4,"1,195",Public,Commercial,Brevoortia ,161731,ACCSP
2007,VIRGINIA,MENHADENS **,"420,481,003","190,729","25,316,714",Public,Commercial,Brevoortia ,161731,ACCSP
2006,CONNECTICUT,MENHADENS **,"866,235",393,"69,303",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,DELAWARE,MENHADENS **,"107,824",49,"10,467",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,FLORIDA-EAST,MENHADENS **,"157,117",71,"49,360",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,MARYLAND,MENHADENS **,"5,192,489","2,355","650,360",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,MASSACHUSETTS,MENHADENS **,"2,504,211","1,136","232,507",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NEW JERSEY,MENHADENS **,"24,085,182","10,925","2,102,620",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NEW YORK,MENHADENS **,"329,986",150,"34,454",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,NORTH CAROLINA,MENHADENS **,"962,647",437,"147,795",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,RHODE ISLAND,MENHADENS **,"82,424",37,"4,609",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2006,VIRGINIA,MENHADENS **,"370,946,438","168,260","22,305,704",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,CONNECTICUT,MENHADENS **,"30,636",14,"3,068",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,DELAWARE,MENHADENS **,"120,429",55,"14,904",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,FLORIDA-EAST,MENHADENS **,"39,404",18,"14,776",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,MARYLAND,MENHADENS **,"15,759,698","7,149","1,897,538",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,MASSACHUSETTS,MENHADENS **,"1,967,984",893,"132,625",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NEW JERSEY,MENHADENS **,"24,092,525","10,928","9,423,313",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NEW YORK,MENHADENS **,"74,205",34,"9,664",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,NORTH CAROLINA,MENHADENS **,"13,386,247","6,072","1,223,030",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,RHODE ISLAND,MENHADENS **,"14,471",7,"3,429",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2005,VIRGINIA,MENHADENS **,"372,577,775","169,000","25,443,147",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,CONNECTICUT,MENHADENS **,"33,210",15,"3,327",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,DELAWARE,MENHADENS **,"75,635",34,"6,480",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,FLORIDA-EAST,MENHADENS **,"20,870",9,"14,042",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,MARYLAND,MENHADENS **,"3,297,691","1,496","375,581",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW HAMPSHIRE,MENHADENS **,140,0,17,Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW JERSEY,MENHADENS **,"18,023,688","8,175","1,186,929",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NEW YORK,MENHADENS **,"75,420",34,"9,947",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,NORTH CAROLINA,MENHADENS **,"50,577,982","22,942","4,535,531",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,RHODE ISLAND,MENHADENS **,"39,232",18,"4,306",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2004,VIRGINIA,MENHADENS **,"399,797,922","181,347","24,418,822",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,CONNECTICUT,MENHADENS **,"46,515",21,"4,655",Public,Commercial,Brevoortia ,161731,ACCSPHIST
2003,DELAWARE,MENHADENS **,"45,871",21,"4,330",Public,Commercial,Brevoortia ,161731,ACCSPHIST
